Freq	Chan A	Chan B
1000,00000000 	 24,58133125 	 -105,08322906
1050,00000000 	 23,60428810 	 -104,57305145
1100,00000000 	 22,69145966 	 -104,10170746
1150,00000000 	 21,84513855 	 -103,67066193
1200,00000000 	 21,05349159 	 -103,27085876
1250,00000000 	 20,31368828 	 -102,90342712
1300,00000000 	 19,62114716 	 -102,56388855
1350,00000000 	 18,97195053 	 -102,24765015
1400,00000000 	 18,36108589 	 -101,95260620
1450,00000000 	 17,78730011 	 -101,68103027
1500,00000000 	 17,24480247 	 -101,42910004
1550,00000000 	 16,73443794 	 -101,19461823
1600,00000000 	 16,25301170 	 -100,97544861
1650,00000000 	 15,79565334 	 -100,77190399
1700,00000000 	 15,36384678 	 -100,58480835
1750,00000000 	 14,95451736 	 -100,40944672
1800,00000000 	 14,56463623 	 -100,24485016
1850,00000000 	 14,19488239 	 -100,09268951
1900,00000000 	 13,84272671 	 -99,94750214
1950,00000000 	 13,50789261 	 -99,81632233
2000,00000000 	 13,18779945 	 -99,69258881
2050,00000000 	 12,88466835 	 -99,57699585
2100,00000000 	 12,59307003 	 -99,46854401
2150,00000000 	 12,31413651 	 -99,36786652
2200,00000000 	 12,04789543 	 -99,26983643
2250,00000000 	 11,79180622 	 -99,17968750
2300,00000000 	 11,54666233 	 -99,09564972
2350,00000000 	 11,31130505 	 -99,01794434
2400,00000000 	 11,08506870 	 -98,94385529
2450,00000000 	 10,86767292 	 -98,87554932
2500,00000000 	 10,65867424 	 -98,81385803
2550,00000000 	 10,45675850 	 -98,75430298
2650,00000000 	 10,07609081 	 -98,64900208
2700,00000000 	 9,89557552 	 -98,60190582
2750,00000000 	 9,72210121 	 -98,55738068
2800,00000000 	 9,55369949 	 -98,51444244
2900,00000000 	 9,23401737 	 -98,44696045
2950,00000000 	 9,08261490 	 -98,41429901
3000,00000000 	 8,93446159 	 -98,38617706
3100,00000000 	 8,65475273 	 -98,33983612
3150,00000000 	 8,52105808 	 -98,31957245
3250,00000000 	 8,26622868 	 -98,28600311
3300,00000000 	 8,14408493 	 -98,27235413
3400,00000000 	 7,91062117 	 -98,25168610
3450,00000000 	 7,79903078 	 -98,24652863
3550,00000000 	 7,58541250 	 -98,23337555
3650,00000000 	 7,38308287 	 -98,23241425
3700,00000000 	 7,28531456 	 -98,22892761
3800,00000000 	 7,09839392 	 -98,23841858
3900,00000000 	 6,92105770 	 -98,24773407
4000,00000000 	 6,75243521 	 -98,25922394
4050,00000000 	 6,67009926 	 -98,27003479
4150,00000000 	 6,51304197 	 -98,29375458
4250,00000000 	 6,36171722 	 -98,32152557
4350,00000000 	 6,21824646 	 -98,34417725
4450,00000000 	 6,07956696 	 -98,37552643
4550,00000000 	 5,94686031 	 -98,41352844
4700,00000000 	 5,75899410 	 -98,47429657
4800,00000000 	 5,63976097 	 -98,51611328
4900,00000000 	 5,52543211 	 -98,56032562
5000,00000000 	 5,41616631 	 -98,60788727
5150,00000000 	 5,26048613 	 -98,68859863
5250,00000000 	 5,16151524 	 -98,73877716
5350,00000000 	 5,06613207 	 -98,79426575
5500,00000000 	 4,93052053 	 -98,88953400
5600,00000000 	 4,84353638 	 -98,94453430
5750,00000000 	 4,71922255 	 -99,04050446
5900,00000000 	 4,60088110 	 -99,14153290
6050,00000000 	 4,48874474 	 -99,24737549
6150,00000000 	 4,41654921 	 -99,31652832
6300,00000000 	 4,31275988 	 -99,42013550
6450,00000000 	 4,21316576 	 -99,53419495
6600,00000000 	 4,11815596 	 -99,64457703
6750,00000000 	 4,02747202 	 -99,76045990
6900,00000000 	 3,94020128 	 -99,88286591
7100,00000000 	 3,83008814 	 -100,04998779
7250,00000000 	 3,75133729 	 -100,17840576
7400,00000000 	 3,67627382 	 -100,30942535
7600,00000000 	 3,58151865 	 -100,47840881
7750,00000000 	 3,51350236 	 -100,60885620
7950,00000000 	 3,42746401 	 -100,78752136
8150,00000000 	 3,34560370 	 -100,96871185
8300,00000000 	 3,28709316 	 -101,09700012
8500,00000000 	 3,21205616 	 -101,27501678
8700,00000000 	 3,14010787 	 -101,45612335
8900,00000000 	 3,07122326 	 -101,62864685
9100,00000000 	 3,00511765 	 -101,81729126
9350,00000000 	 2,92668104 	 -102,05154419
9550,00000000 	 2,86678386 	 -102,24790192
9750,00000000 	 2,80985355 	 -102,44020081
10000,00000000 	 2,74407196 	 -102,67652130
11000,00000000 	 2,50139332 	 -103,63732910
12000,00000000 	 2,30672073 	 -104,54540253
13000,00000000 	 2,13902855 	 -105,49966431
14000,00000000 	 1,99555695 	 -106,51435089
15000,00000000 	 1,87174773 	 -107,52280426
16000,00000000 	 1,76629293 	 -108,50820923
17000,00000000 	 1,66880226 	 -109,54982758
18000,00000000 	 1,58645880 	 -110,57870483
19000,00000000 	 1,51286113 	 -111,54672241
20000,00000000 	 1,44298494 	 -112,53637695
21000,00000000 	 1,38704860 	 -113,47266388
22000,00000000 	 1,33194053 	 -114,47434235
23000,00000000 	 1,28274071 	 -115,44838715
24000,00000000 	 1,23786604 	 -116,36776733
25000,00000000 	 1,19428301 	 -117,37134552
26000,00000000 	 1,16082931 	 -118,21656799
27000,00000000 	 1,12554491 	 -119,13735199
28000,00000000 	 1,09225428 	 -120,05192566
29000,00000000 	 1,06261873 	 -120,96713257
30000,00000000 	 1,03565383 	 -121,84244537
31000,00000000 	 1,01209962 	 -122,67588043
32000,00000000 	 0,99111718 	 -123,39809418
33000,00000000 	 0,96885490 	 -124,28750610
34000,00000000 	 0,95137900 	 -125,02468872
35000,00000000 	 0,93131077 	 -125,82577515
36000,00000000 	 0,91482258 	 -126,55534363
37000,00000000 	 0,89949620 	 -127,30268097
38000,00000000 	 0,88166457 	 -128,16012573
39000,00000000 	 0,87058288 	 -128,70579529
40000,00000000 	 0,85631418 	 -129,49105835
41000,00000000 	 0,84401739 	 -130,18278503
42000,00000000 	 0,83095801 	 -130,85511780
43000,00000000 	 0,82056427 	 -131,56195068
44000,00000000 	 0,81033528 	 -132,20486450
45000,00000000 	 0,80069757 	 -132,90946960
46000,00000000 	 0,79120809 	 -133,50636292
47000,00000000 	 0,78261948 	 -134,04173279
48000,00000000 	 0,77493745 	 -134,60522461
49000,00000000 	 0,76764584 	 -135,16484070
50000,00000000 	 0,75824016 	 -135,87126160
51000,00000000 	 0,75301820 	 -136,31297302
52000,00000000 	 0,74590927 	 -136,84944153
54000,00000000 	 0,73514372 	 -137,88143921
55000,00000000 	 0,72804397 	 -138,46722412
56000,00000000 	 0,72313350 	 -138,98069763
58000,00000000 	 0,71241379 	 -139,90336609
59000,00000000 	 0,70738029 	 -140,38322449
60000,00000000 	 0,70388722 	 -140,72441101
62000,00000000 	 0,69877386 	 -141,30520630
63000,00000000 	 0,69154680 	 -142,03681946
65000,00000000 	 0,68311399 	 -142,93457031
66000,00000000 	 0,68161017 	 -143,30905151
68000,00000000 	 0,67465168 	 -144,05368042
69000,00000000 	 0,67230868 	 -144,31481934
71000,00000000 	 0,66564751 	 -145,11895752
72000,00000000 	 0,66244799 	 -145,38774109
74000,00000000 	 0,65771455 	 -146,00270081
76000,00000000 	 0,65380412 	 -146,65493774
78000,00000000 	 0,65056652 	 -147,05244446
79000,00000000 	 0,64856613 	 -147,39582825
81000,00000000 	 0,64440012 	 -147,99653625
83000,00000000 	 0,64021587 	 -148,56924438
85000,00000000 	 0,63769674 	 -149,00765991
87000,00000000 	 0,63446516 	 -149,47671509
89000,00000000 	 0,63161200 	 -149,85923767
91000,00000000 	 0,62971538 	 -150,25968933
93000,00000000 	 0,62737596 	 -150,60214233
96000,00000000 	 0,62478054 	 -151,22665405
98000,00000000 	 0,62018490 	 -151,73193359
100000,00000000 	 0,62013811 	 -151,92634583
102000,00000000 	 0,61776781 	 -152,36161804
105000,00000000 	 0,61441970 	 -152,85897827
107000,00000000 	 0,61450154 	 -152,95379639
110000,00000000 	 0,61202949 	 -153,47193909
112000,00000000 	 0,61111856 	 -153,65063477
115000,00000000 	 0,60908914 	 -154,14080811
117000,00000000 	 0,60823995 	 -154,20683289
